audio_file_path,subject,sex,treatment,issueTime,time_group,split,group_id,link_name,whitened_path
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-07_14-44-44_Wistar_Urgency_group1/pi-data_2024-10-07_14-44-44_Wistar_Urgency_group1/box01/mic/20241007_144423.WAV,001_033,M,Control_EtOH,145200,early,train,7,/home/lapishla/Documents/GitHub/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyRAP/Wistar_Urgency/audio/train/20241007_144423_subject001_033.WAV,/home/lapishla/Documents/GitHub/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyRAP/Wistar_Urgency/audio/train/20241007_144423_subject001_033_whitened.flac
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-07_14-44-44_Wistar_Urgency_group1/pi-data_2024-10-07_14-44-44_Wistar_Urgency_group1/box01/mic/20241007_150230.WAV,001_033,M,Control_EtOH,145200,middle,train,9,/home/lapishla/Documents/GitHub/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyRAP/Wistar_Urgency/audio/train/20241007_150230_subject001_033.WAV,/home/lapishla/Documents/GitHub/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyRAP/Wistar_Urgency/audio/train/20241007_150230_subject001_033_whitened.flac
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-07_14-44-44_Wistar_Urgency_group1/pi-data_2024-10-07_14-44-44_Wistar_Urgency_group1/box01/mic/20241007_153235.WAV,001_033,M,Control_EtOH,145200,late,train,8,/home/lapishla/Documents/GitHub/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyRAP/Wistar_Urgency/audio/train/20241007_153235_subject001_033.WAV,/home/lapishla/Documents/GitHub/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyRAP/Wistar_Urgency/audio/train/20241007_153235_subject001_033_whitened.flac
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-07_14-44-44_Wistar_Urgency_group1/pi-data_2024-10-07_14-44-44_Wistar_Urgency_group1/box01/mic/20241007_160240.WAV,001_033,M,Control_EtOH,145200,,,0,,_whitened.flac
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-07_14-44-44_Wistar_Urgency_group1/pi-data_2024-10-07_14-44-44_Wistar_Urgency_group1/box05/mic/20241007_144354.WAV,012_041,F,Control_EtOH,145200,early,train,1,/home/lapishla/Documents/GitHub/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyRAP/Wistar_Urgency/audio/train/20241007_144354_subject012_041.WAV,/home/lapishla/Documents/GitHub/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyRAP/Wistar_Urgency/audio/train/20241007_144354_subject012_041_whitened.flac
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-07_14-44-44_Wistar_Urgency_group1/pi-data_2024-10-07_14-44-44_Wistar_Urgency_group1/box05/mic/20241007_150230.WAV,012_041,F,Control_EtOH,145200,middle,train,3,/home/lapishla/Documents/GitHub/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyRAP/Wistar_Urgency/audio/train/20241007_150230_subject012_041.WAV,/home/lapishla/Documents/GitHub/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyRAP/Wistar_Urgency/audio/train/20241007_150230_subject012_041_whitened.flac
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-07_14-44-44_Wistar_Urgency_group1/pi-data_2024-10-07_14-44-44_Wistar_Urgency_group1/box05/mic/20241007_153235.WAV,012_041,F,Control_EtOH,145200,late,train,2,/home/lapishla/Documents/GitHub/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyRAP/Wistar_Urgency/audio/train/20241007_153235_subject012_041.WAV,/home/lapishla/Documents/GitHub/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyRAP/Wistar_Urgency/audio/train/20241007_153235_subject012_041_whitened.flac
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-07_14-44-44_Wistar_Urgency_group1/pi-data_2024-10-07_14-44-44_Wistar_Urgency_group1/box05/mic/20241007_160240.WAV,012_041,F,Control_EtOH,145200,,,0,,_whitened.flac
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-07_14-44-44_Wistar_Urgency_group1/pi-data_2024-10-07_14-44-44_Wistar_Urgency_group1/box02/mic/20241007_144444.WAV,013_034,M,Control_EtOH,145200,early,validation,7,/home/lapishla/Documents/GitHub/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyRAP/Wistar_Urgency/audio/validation/20241007_144444_subject013_034.WAV,/home/lapishla/Documents/GitHub/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyRAP/Wistar_Urgency/audio/validation/20241007_144444_subject013_034_whitened.flac
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-07_14-44-44_Wistar_Urgency_group1/pi-data_2024-10-07_14-44-44_Wistar_Urgency_group1/box02/mic/20241007_150230.WAV,013_034,M,Control_EtOH,145200,middle,train,9,/home/lapishla/Documents/GitHub/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyRAP/Wistar_Urgency/audio/train/20241007_150230_subject013_034.WAV,/home/lapishla/Documents/GitHub/DeepSqueak-Network-Performance/detection/human_curated/scentEtOH_urgencyRAP/Wistar_Urgency/audio/train/20241007_150230_subject013_034_whitened.flac
