audio_file_path,subject,sex,treatment,issueTime,time_group,split,group_id,completed,sr,link_name,revalidation,notes,Aria_notes,
/datastar/behavior_rooms/2CAP/2025-08-17_11-01-55_Prat_Urgency_group1/pi-data_2025-08-17_11-01-55_Prat_Urgency_group1/box02/mic/20250817_121000_whitened.flac,070_094,F,Control_EtOH,113600,middle,validation,3,1,250000,20250817_121000_whitened_subject070_094.flac,1,anna_duplicate,1,"Not normal shape:
2:38.7; 2:48.5; 3:44.84; 3:48.20; 4:34.10; 4:36.9"
/datastar/behavior_rooms/2CAP/2025-10-27_11-17-54_Prat_Urgency_group2/pi-data_2025-10-27_11-17-54_Prat_Urgency_group2/box02/mic/20251027_121500_whitened.flac,77,M,Control,112651,late,validation,8,1,250000,20251027_121500_whitened_subject077.flac,1,,,
/datastar/behavior_rooms/2CAP/2025-08-17_11-01-55_Prat_Urgency_group1/pi-data_2025-08-17_11-01-55_Prat_Urgency_group1/box05/mic/20250817_114500_whitened.flac,068_066,F,Control_Control,113600,early,validation,1,1,250000,20250817_114500_whitened_subject068_066.flac,1,,1,"Not normal shape:
0:03.5; 0:03.75; 0:21.6; 0:39.65; 0:42.12; 0:56.57; 1:51.68; 3:15.99; 3:25.18; 3:26.28; 3:36.05; "
/datastar/behavior_rooms/2CAP/2025-08-27_11-26-09_Prat_Urgency_group2/pi-data_2025-08-27_11-26-09_Prat_Urgency_group2/box02/mic/20250827_123500_whitened.flac,067_073,M,Control_Control,113658,late,validation,8,1,250000,20250827_123500_whitened_subject067_073.flac,1,,,
/datastar/behavior_rooms/2CAP/2025-08-28_11-33-10_Prat_Urgency_group2/pi-data_2025-08-28_11-33-10_Prat_Urgency_group2/box03/mic/20250828_124000_whitened.flac,94,F,EtOH,114341,late,validation,5,1,250000,20250828_124000_whitened_subject094.flac,1,,,
/datastar/behavior_rooms/2CAP/2025-08-20_11-53-24_Prat_Urgency_group2/pi-data_2025-08-20_11-53-24_Prat_Urgency_group2/box02/mic/20250820_125500_whitened.flac,76,F,Control,120635,late,validation,2,1,250000,20250820_125500_whitened_subject076.flac,1,no calls,,
/datastar/behavior_rooms/2CAP/2025-08-19_12-30-41_Prat_Urgency_group2/pi-data_2025-08-19_12-30-41_Prat_Urgency_group2/box04/mic/20250819_124500_whitened.flac,062_084,F,Control_EtOH,123950,early,validation,1,1,250000,20250819_124500_whitened_subject062_084.flac,1,,,
/datastar/behavior_rooms/2CAP/2025-08-19_12-30-41_Prat_Urgency_group2/pi-data_2025-08-19_12-30-41_Prat_Urgency_group2/box04/mic/20250819_125500_whitened.flac,062_084,F,Control_EtOH,123950,middle,validation,3,1,250000,20250819_125500_whitened_subject062_084.flac,1,,,
/datastar/behavior_rooms/2CAP/2025-08-19_12-30-41_Prat_Urgency_group2/pi-data_2025-08-19_12-30-41_Prat_Urgency_group2/box04/mic/20250819_130500_whitened.flac,062_084,F,Control_EtOH,123950,middle,validation,3,1,250000,20250819_130500_whitened_subject062_084.flac,1,,,
/datastar/behavior_rooms/2CAP/2025-08-26_12-50-09_Prat_Urgency_group3/pi-data_2025-08-26_12-50-09_Prat_Urgency_group3/box02/mic/20250826_135000_whitened.flac,060_086,F,Control_EtOH,125939,late,validation,2,1,250000,20250826_135000_whitened_subject060_086.flac,1,,,
/datastar/behavior_rooms/2CAP/2025-08-29_13-01-42_Prat_Urgency_group3/pi-data_2025-08-29_13-01-42_Prat_Urgency_group3/box06/mic/20250829_131000_whitened.flac,085_089,M,EtOH_EtOH,131344,early,validation,10,1,250000,20250829_131000_whitened_subject085_089.flac,1,,,
/datastar/behavior_rooms/2CAP/2025-08-18_13-38-09_Prat_Urgency_group3/pi-data_2025-08-18_13-38-09_Prat_Urgency_group3/box03/mic/20250818_135000_whitened.flac,073_067,M,Control_Control,134300,early,validation,7,1,250000,20250818_135000_whitened_subject073_067.flac,1,,,
/datastar/behavior_rooms/2CAP/2025-08-18_13-38-09_Prat_Urgency_group3/pi-data_2025-08-18_13-38-09_Prat_Urgency_group3/box03/mic/20250818_135500_whitened.flac,073_067,M,Control_Control,134300,early,validation,7,1,250000,20250818_135500_whitened_subject073_067.flac,1,,,
/datastar/behavior_rooms/2CAP/2025-08-18_13-38-09_Prat_Urgency_group3/pi-data_2025-08-18_13-38-09_Prat_Urgency_group3/box03/mic/20250818_140000_whitened.flac,073_067,M,Control_Control,134300,middle,validation,9,1,250000,20250818_140000_whitened_subject073_067.flac,1,,,
/datastar/behavior_rooms/2CAP/2025-08-18_13-38-09_Prat_Urgency_group3/pi-data_2025-08-18_13-38-09_Prat_Urgency_group3/box03/mic/20250818_140500_whitened.flac,073_067,M,Control_Control,134300,middle,validation,9,1,250000,20250818_140500_whitened_subject073_067.flac,1,,,
/datastar/behavior_rooms/2CAP/2025-08-18_13-38-09_Prat_Urgency_group3/pi-data_2025-08-18_13-38-09_Prat_Urgency_group3/box05/mic/20250818_141500_whitened.flac,084_096,F,EtOH_EtOH,134300,middle,validation,6,1,250000,20250818_141500_whitened_subject084_096.flac,1,,,
/datastar/behavior_rooms/2CAP/2025-08-19_15-29-22_Prat_Urgency_group4/pi-data_2025-08-19_15-29-22_Prat_Urgency_group4/box01/mic/20250819_161000_whitened.flac,093_079,M,EtOH_EtOH,154115,middle,validation,12,1,250000,20250819_161000_whitened_subject093_079.flac,1,no calls,,
/datastar/behavior_rooms/2CAP/2025-08-19_15-29-22_Prat_Urgency_group4/pi-data_2025-08-19_15-29-22_Prat_Urgency_group4/box01/mic/20250819_162000_whitened.flac,093_079,M,EtOH_EtOH,154115,late,validation,11,1,250000,20250819_162000_whitened_subject093_079.flac,1,no calls,,
